,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult,split
5848,2017,1.83248,14.0,9.0,5.5714,9.0,1.6436833217740103,11.0,8.00990644842386,1.27359,16.0,4.824997960349188,9.3103,13.0,1.0299677345901728,11.0,3.944022662937641,2,False,False,1.0,2.0,8.0,11.0,7.0,7.0,3.0,1.0,2.0,5.0,0.0,3.5115877060219622,-23.760513785369195,-24.818178057851807,2,0.0
1220,2015,2.06666,21.0,6.0,7.0909,15.0,1.7928351555019622,15.0,4.781701244413851,1.79057,10.0,2.0,6.7586,17.0,1.7049870751798146,9.0,5.802542604506016,0,False,False,0.0,0.0,4.0,9.0,12.0,6.0,4.0,0.0,1.0,4.0,0.0,2.960611505806446,-23.06153491361001,-23.153842591716522,0,0.0
12349,2020,1.57132,16.0,5.0,8.1852,13.0,0.9516398794949061,12.0,1.9739860296249387,0.51703,8.0,3.0,7.5152,25.0,0.3746780604124067,6.0,1.9045134782791142,4,False,False,3.0,4.0,4.0,5.0,8.0,6.0,6.0,2.0,1.0,2.0,1.0,2.594648008979858,-14.5999708000584,-17.3999652000696,1,0.0
4161,2014,1.78719,14.0,8.0,12.2692,16.0,0.600615553557873,12.0,2.0555722303688513,1.25955,18.0,6.0,3.619,17.0,1.1073832735419278,15.0,2.0731947440654044,1,False,True,1.0,1.0,7.0,5.0,8.0,11.0,5.0,4.0,4.0,3.0,0.0,5.436814568191768,-14.747645019127726,-16.046151377515173,2,0.0
660,2015,2.60731,21.0,8.0,9.1818,14.0,0.9707219917327179,16.0,5.09762881882489,0.651895,18.0,2.0,9.0417,14.0,0.5741641595959666,14.0,2.541411755606532,1,False,False,1.0,1.0,11.0,7.0,9.0,10.0,5.0,6.0,5.0,4.0,1.0,1.0660809643566616,-21.826614257560163,-22.59999623333396,2,0.0
6319,2017,1.54139,15.0,9.0,19.4545,9.0,1.463393386453391,12.0,7.531505092978474,0.359568,9.0,1.0,12.3571,7.0,0.3010570751503115,6.0,0.6255142344161868,1,False,False,1.0,1.0,9.0,4.0,8.0,5.0,3.0,0.0,5.0,2.0,1.0,3.20161114372313,-20.368701094261585,-21.546871633301308,2,0.0
926,2016,2.05142,22.0,15.0,6.2963,10.0,1.3673581797629593,14.0,3.5670211985707283,0.634162,8.0,1.0,11.7308,22.0,0.5532557927072048,6.0,4.166682545095681,3,False,False,1.0,3.0,11.0,1.0,4.0,1.0,6.0,5.0,7.0,0.0,0.0,5.458498433977367,-20.342270237572922,-21.711860726803266,2,0.0
3342,2016,1.38936,14.0,2.0,25.1667,7.0,0.8016971126198764,12.0,2.379293303936721,1.50728,16.0,4.824997960349188,6.0455,8.0,1.3870701529085623,14.0,7.549545008689164,0,False,False,2.0,0.0,11.0,7.0,7.0,11.0,4.0,7.0,6.0,4.0,0.0,3.286616528779269,-22.522384302724166,-26.153826035518435,2,0.0
5996,2017,0.324147,10.0,2.0,14.8929,14.0,0.3074874784797431,9.0,0.5902903061360122,1.69953,9.0,6.0,7.7083,7.0,0.3326235301792624,5.0,2.3903144076466534,1,False,False,5.0,1.0,4.0,6.0,6.0,10.0,1.0,3.0,2.0,3.0,0.0,3.6771319556981323,-16.21076907583867,-16.999997702703013,0,0.0
4663,2014,1.98321,26.0,13.0,4.0667,14.0,1.0720824934542175,17.0,4.025735240429639,1.72618,8.0,4.0,7.0,20.0,1.257535850629211,5.0,6.522484391927716,2,False,False,4.0,2.0,11.0,7.0,9.0,7.0,7.0,1.0,8.0,2.0,1.0,5.406078921072183,-13.404758713152686,-15.976186672336505,1,0.0
11000,2020,0.200419,6.0,4.0,18.3889,11.0,0.1177566759288311,4.0,0.4890858344733714,1.37167,10.0,4.0,11.4815,12.0,1.2839893847703934,9.0,5.292670264840126,1,False,False,1.0,1.0,6.0,8.0,9.0,7.0,0.0,3.0,4.0,3.0,0.0,3.5882055375725015,-18.35820758393051,-21.4631556354573,0,0.0
6974,2017,0.88774,17.0,11.0,11.8966,17.0,0.6009179465472696,13.0,1.8917786395177247,0.590921,6.0,4.0,14.3158,17.0,0.590920560061931,6.0,2.7199307866394533,5,False,False,1.0,5.0,6.0,5.0,9.0,8.0,5.0,2.0,4.0,2.0,0.0,4.040103910863399,-19.521730642725807,-20.130426030249552,0,0.0
11655,2020,0.184151,4.0,7.0,5.7857,13.0,0.079108165577054,2.0,0.7301332838833328,0.487189,15.0,6.0,10.2353,17.0,0.4066294450312849,12.0,1.3726206887513384,2,False,False,1.0,2.0,5.0,5.0,7.0,7.0,1.0,3.0,2.0,3.0,0.0,0.0,-18.999905000474996,-25.499872500637498,2,0.0
5099,2014,0.32339,5.0,0.0,13.0476,12.0,0.3233898207545277,5.0,0.0496308580040931,0.98639,14.0,10.0,18.0,12.0,0.9297065893188117,11.0,3.683212189003826,1,False,False,0.0,1.0,4.0,6.0,9.0,3.0,1.0,4.0,2.0,4.0,1.0,2.1811295120045533,-16.50793388762954,-17.19047346182961,1,0.0
164,2015,1.48982,13.0,9.0,8.8,6.0,1.0221400354057555,9.0,4.349559821188451,2.02911,10.0,6.0,8.3684,14.0,0.3303149156272417,5.0,0.9074825569987306,1,False,False,2.0,1.0,7.0,7.0,2.0,5.0,4.0,0.0,2.0,2.0,1.0,4.420453094877304,-23.347502937472445,-27.391298393196,0,0.0
9033,2018,1.41618,11.0,8.0,8.4091,14.0,0.5520607214421034,8.0,1.953008152544499,0.513682,8.0,0.0,6.8889,18.0,0.5136816985905169,8.0,1.5808608531951907,4,False,False,1.0,4.0,5.0,6.0,5.0,1.0,4.0,0.0,3.0,4.0,1.0,3.7772462159395226,-20.20312184326221,-23.999996250000585,1,0.0
6588,2017,1.97436,21.0,9.0,6.5455,8.0,1.859890315681696,17.0,1.8908845447003848,1.26465,8.0,4.0,9.0,13.0,1.233991317451,6.0,4.312892526388169,2,False,False,0.0,2.0,6.0,1.0,12.0,7.0,6.0,2.0,4.0,0.0,0.0,2.3115079183131457,-26.255378398109357,-25.499985833341203,0,0.0
4258,2014,3.60693,19.0,9.0,5.0,12.597073719752391,1.967826146632432,15.0,8.003831624984741,0.43169,8.0,6.0,7.0938,16.0,0.4316897094249733,8.0,1.189673267304897,5,False,False,3.0,5.0,8.0,5.0,7.0,6.0,2.0,2.0,3.0,1.0,0.0,1.7660021699965007,-16.59090532024879,-19.613631905992747,2,0.0
11974,2020,1.56402,10.0,6.0,18.3333,9.0,0.7786575881764288,7.0,3.365287504158915,1.53974,13.0,7.0,15.4286,16.0,1.1227886863052854,11.0,2.116043546237052,2,False,False,2.0,2.0,6.0,8.0,7.0,8.0,5.0,2.0,3.0,5.0,2.0,2.82630968503654,-24.8999751000249,-22.2999777000223,1,0.0
6053,2017,2.23468,13.0,6.0,8.2143,8.0,1.2322669429704547,9.0,1.7278994023799892,2.24817,15.0,9.0,11.9545,14.0,1.5432691704481842,11.0,6.045732047408817,3,False,False,2.0,3.0,6.0,9.0,12.0,7.0,4.0,3.0,2.0,2.0,0.0,0.0,-15.499922500387498,-21.499892500537495,0,0.0
5581,2017,0.789259,13.0,7.0,7.85,4.0,0.658075582236051,10.0,2.793441653251649,0.137743,5.0,2.0,37.625,4.0,0.08490352332592,4.0,0.3800266850739714,0,False,False,0.0,0.0,5.0,1.0,12.0,1.0,4.0,2.0,3.0,0.0,0.0,5.921254271827637,-15.730512727980903,-17.02777541280897,0,0.0
1620,2015,2.13172,13.0,12.0,5.4828,8.0,0.8462359830737123,8.0,3.4669463783502623,0.748618,7.0,2.0,10.9,17.0,0.120570819824934,5.0,0.9020465444773439,4,False,False,2.0,4.0,8.0,6.0,11.0,5.0,2.0,2.0,5.0,3.0,1.0,4.010186638589951,-24.322608016417277,-26.07690301776691,2,0.0
154,2015,1.13181,24.0,5.0,7.2414,7.0,0.8561636600643389,18.0,2.5181096037849775,1.87239,12.0,7.0,10.0,9.0,1.33923064917326,9.0,6.526296451687808,2,False,False,1.0,2.0,2.0,5.0,3.0,10.0,9.0,5.0,8.0,3.0,1.0,0.0,0.0,0.0,1,0.0
0,2015,0.627539,9.0,4.0,13.8261,12.0,0.2849787548184397,5.0,1.3963279481977227,0.6746,9.0,10.0,8.2188,12.0,0.5863653812557466,7.0,1.7453709412366152,3,False,False,2.0,3.0,1.0,6.0,1.0,5.0,4.0,3.0,1.0,4.0,0.0,0.0,-23.66658777804074,-21.666594444685185,2,0.0
2188,2016,1.46546,13.0,6.0,7.3824,15.0,1.2988323569297795,10.0,4.1515018902719,0.486662,10.0,5.0,9.4231,11.0,0.3775655552744867,7.0,1.25220880098641,1,False,False,1.0,1.0,10.0,7.0,6.0,7.0,4.0,0.0,6.0,5.0,1.0,2.2051987990736963,-17.288544537145224,-24.111084321017422,2,0.0
2577,2016,0.355797,9.0,2.0,7.1786,13.0,0.1337992548942565,5.0,0.45535814389586443,0.530834,12.0,7.0,9.1429,15.0,0.44159701839089327,10.0,1.228706212714314,0,False,True,2.0,0.0,5.0,6.0,7.0,1.0,3.0,2.0,2.0,4.0,1.0,6.871127181127667,-20.527067306515523,-23.28813361964969,2,0.0
12358,2020,2.09357,18.0,7.0,6.15,12.0,1.4408249640837307,13.0,2.50652911607176,1.0506,9.0,2.0,20.381,16.0,1.0110017210245137,8.0,1.893604762852192,3,False,False,4.0,3.0,5.0,6.0,2.0,5.0,6.0,1.0,1.0,2.0,0.0,4.152981362864372,-20.299939821545273,-20.833329475309355,1,0.0
8774,2018,1.89955,16.0,6.0,5.25,16.0,0.5243586339056495,7.0,1.8946158718317756,0.635046,3.0,0.0,11.6,16.0,0.6350457444787021,3.0,3.1767884790897356,1,False,True,2.0,3.0,5.0,4.0,6.0,1.0,5.0,0.0,2.0,1.0,1.0,2.372167511284352,-23.737355225772298,-26.766230290099962,1,0.0
7682,2018,0.595313,6.0,0.0,28.8462,12.0,0.5293220058083531,4.0,0.09761388972401619,2.22234,20.0,4.824997960349188,6.0909,8.0,1.7033711597323409,15.0,6.224539548158646,0,False,False,0.0,0.0,4.0,11.0,5.0,9.0,1.0,8.0,1.0,5.0,0.0,1.52438916452229,-24.974809302856617,-24.562492324221147,0,0.0
4476,2014,1.20966,11.0,4.0,7.0,17.0,1.0326072499156,8.0,2.4050860330462465,2.04706,14.0,9.0,6.1667,16.0,1.1901670098304757,11.0,1.7523596752434965,2,True,False,3.0,2.0,5.0,9.0,7.0,9.0,2.0,3.0,1.0,5.0,0.0,2.58955767787993,-16.803918273741512,-18.274506220685055,1,0.0
6613,2017,2.41895,22.0,15.0,9.4615,8.0,2.1288994140923028,17.0,10.586801398545504,1.85263,12.0,5.0,11.5556,11.0,1.2429654151201255,8.0,7.239260427653783,0,False,False,0.0,0.0,7.0,9.0,11.0,7.0,4.0,2.0,3.0,6.0,0.0,2.9436132719740287,-22.514650159000116,-24.222219979424075,2,0.0
535,2015,1.36533,9.0,2.0,11.7143,12.0,1.2325969394296408,7.0,0.5271225031465293,1.41836,19.0,5.0,3.4688,17.0,0.5378542980179195,15.0,1.6028320016339404,1,False,False,2.0,1.0,5.0,9.0,5.0,2.0,2.0,6.0,6.0,6.0,0.0,1.0610737590119244,-17.666637222271298,-20.999965000058335,1,0.0
6052,2017,0.545571,9.0,6.0,16.0952,17.0,0.44724778458476055,7.0,1.6125649064779295,1.48755,16.0,7.0,8.5,13.0,1.2126443423330786,10.0,4.34251208603382,2,False,False,1.0,2.0,4.0,4.0,8.0,6.0,3.0,1.0,2.0,1.0,1.0,4.583505961485207,-19.74997531253086,-19.999975000031252,0,0.0
5204,2014,0.21106,8.0,3.0,6.52,10.0,0.20058895368129,7.0,0.7921263836324222,0.282065,9.0,1.0,12.2692,12.0,0.123750701546669,5.0,0.7316448297351599,2,False,False,0.0,2.0,4.0,0.0,8.0,5.0,2.0,3.0,2.0,0.0,1.0,5.297708883136511,-14.708527523349673,-15.899997728571753,1,0.0
3072,2016,0.367473,9.0,2.0,14.0769,17.0,0.2195736858993771,5.0,0.9520694501698015,2.48111,17.0,11.0,13.1875,8.0,1.8791606649756432,14.0,7.581246908754105,1,False,False,3.0,1.0,4.0,9.0,6.0,2.0,0.0,5.0,1.0,5.0,0.0,2.309765228815377,-22.049750018382138,-22.444438209878275,0,0.0
7630,2018,2.69396,23.0,6.0,9.7097,8.0,1.189999385736882,14.0,4.751480134204032,0.201885,7.0,3.0,11.1875,9.0,0.1222455101087689,5.0,0.47990853805094946,4,False,False,1.0,4.0,8.0,4.0,12.0,9.0,8.0,2.0,5.0,2.0,0.0,2.2612027462571858,-24.183506649253086,-26.311471096480147,2,0.0
1728,2016,1.96299,23.0,14.0,4.7742,13.0,1.8267408758401869,18.0,6.2829276770353335,1.41911,15.0,2.0,9.2143,17.0,0.26149583980441105,7.0,0.9227322824299328,3,True,True,4.0,3.0,9.0,10.0,10.0,6.0,8.0,3.0,5.0,5.0,1.0,4.075586281344295,-19.737678774176576,-22.04716773139927,1,0.0
5610,2017,0.845327,8.0,2.0,9.6087,13.0,0.7418900243937961,5.0,2.8307208716869363,1.1342,14.0,3.0,10.2857,12.0,0.9972665384411816,10.0,1.0015175342559817,0,False,False,0.0,0.0,6.0,6.0,1.0,9.0,2.0,5.0,2.0,3.0,1.0,4.363706844300031,-16.2322248537366,-16.741933683663046,1,0.0
12109,2020,1.23629,6.0,2.0,10.6552,15.0,0.1622825171798468,3.0,2.3698189333081245,2.0312,18.0,9.0,5.5556,19.0,1.9120553713291883,15.0,10.549809098243713,2,False,False,4.0,2.0,4.0,7.0,5.0,11.0,1.0,6.0,1.0,3.0,0.0,1.9828678743913766,-17.666656851857304,-21.473672908593205,0,0.0
12082,2020,1.22979,9.0,3.0,12.8261,17.0,0.6559717394411562,7.0,3.0351538248360157,2.05417,13.0,8.0,7.6207,13.0,1.6316384412348275,8.0,3.9828584715724005,3,False,False,2.0,3.0,6.0,6.0,7.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,-13.999860001399986,1,0.0
6173,2017,2.34747,16.0,5.0,19.8333,8.0,2.1252708844840553,12.0,13.626579374074934,0.809319,8.0,3.0,20.2,6.0,0.7078210683539506,6.0,2.7901728749275203,0,False,False,2.0,0.0,7.0,5.0,9.0,11.0,4.0,1.0,2.0,3.0,0.0,0.9925951627083116,-20.976218033179187,-21.57626752944618,2,0.0
8966,2018,1.72169,15.0,5.0,6.5,10.0,1.1216319426894181,10.0,6.8668653666973105,0.689154,14.0,3.0,10.1556,13.0,0.5848323442041876,11.0,1.772646591067314,3,False,False,1.0,3.0,9.0,9.0,9.0,7.0,5.0,3.0,5.0,7.0,1.0,2.0925709635019305,-23.965356886246123,-23.135799612864243,2,0.0
642,2015,0.930207,11.0,6.0,7.4444,12.597073719752391,0.3708480130881075,9.0,1.5609472021460533,1.39737,11.0,6.0,4.3243,16.0,1.2858158294111486,10.0,5.569319140166044,3,False,False,3.0,3.0,5.0,7.0,7.0,6.0,3.0,0.0,2.0,2.0,1.0,0.0,-26.333245555848148,-21.333262222459258,0,0.0
1377,2015,1.08705,15.0,4.0,6.5333,15.0,0.45665773656219233,11.0,1.2684389390051363,0.611548,10.0,5.0,4.7941,19.0,0.5071656676009302,7.0,1.2945218123495583,4,False,False,3.0,4.0,6.0,4.0,7.0,5.0,5.0,4.0,4.0,2.0,1.0,4.574164448678493,-20.074143112553568,-18.483867986472905,1,0.0
6335,2017,0.880742,17.0,1.0,7.8158,15.0,0.7592992624267939,13.0,1.4770685210824004,2.49124,17.0,13.0,8.55,12.0,1.4348297603428366,11.0,12.175050109624864,4,False,False,1.0,4.0,7.0,7.0,9.0,7.0,5.0,7.0,5.0,4.0,1.0,6.991503322683272,-14.97221806327276,-17.333328518519853,0,0.0
1566,2015,2.00307,15.0,8.0,7.697,18.0,1.8432425986975427,11.0,6.668575821444387,1.71536,10.0,6.0,9.0333,18.0,1.1682981625199325,7.0,3.3898391490802147,3,False,False,2.0,3.0,6.0,8.0,9.0,6.0,4.0,3.0,3.0,4.0,1.0,2.4805492933839566,-21.57859658609621,-21.351061558397706,0,0.0
11844,2020,0.94986,8.0,1.0,17.1667,13.0,0.3287819419056177,6.0,1.673962246626616,1.62585,9.0,10.0,5.9032,21.0,0.7708435878157611,6.0,4.660780236124995,1,False,False,3.0,1.0,6.0,7.0,5.0,6.0,1.0,1.0,2.0,4.0,0.0,1.3448754919692876,-17.24323858290849,-16.526311440444356,2,0.0
