,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult
4006,2014,1.8531,18.0,9.0,11.25,12.0,0.942371759563685,13.0,4.8577332124114045,1.01706,10.0,3.0,10.9565,10.0,0.9115444980561729,8.0,5.84891676530242,0,True,True,1,0,4,4,8,5,6,4,4,3,After Noon,2.0252813214436163,-17.187489257819216,-19.374987890632568,0
5448,2014,1.50758,15.0,6.0,6.7407,9.0,1.399975974112748,13.0,6.355976954102509,0.164539,5.0,1.0,24.381,15.0,0.1645392160862685,5.0,0.6126921437680724,3,False,False,1,3,5,1,4,4,4,3,3,1,After Noon,2.081038323044776,-17.294107474054428,-19.88234124568162,2
4007,2014,1.55411,14.0,9.0,2.9333,13.0,1.0269343778491018,11.0,0.9837399404495947,0.158151,4.0,0.0,14.1724,19.0,0.1511047780513764,3.0,0.1753411199897528,2,False,True,2,2,6,2,9,3,3,2,4,1,After Noon,2.2390848692506546,-16.83332398148668,-19.722211265438187,2
5449,2014,1.81988,9.0,2.0,14.5,4.0,1.7826126366853705,7.0,4.830006279051303,1.06246,9.0,2.0,15.0417,12.0,0.44670779723674053,6.0,1.6354768099263302,1,False,False,0,1,7,3,6,1,2,1,1,1,Night,3.53248524032533,-16.57893864266387,-19.21051620499147,2
5450,2014,1.43956,10.0,7.0,8.1304,11.0,1.0674963966012008,7.0,2.5468005090951915,1.28964,18.0,5.0,10.75,12.0,0.7513485886156557,11.0,3.806959373876451,1,False,False,3,1,6,3,6,4,0,6,4,2,Night,2.6946119535714375,-16.74999162500419,-19.499990250004874,2
5451,2014,0.908766,14.0,2.0,9.2069,14.0,0.6828722506761544,10.0,3.701048230752348,1.00409,10.0,2.0,15.0,5.0,0.5083911176770923,7.0,2.1274914070963864,1,False,False,4,1,3,4,7,2,5,1,3,3,Night,2.9704166973009696,-16.71427775510583,-19.71427632653508,0
5452,2014,1.03357,14.0,4.0,10.625,14.0,0.6610288023948665,11.0,2.1551194386556753,0.326763,10.0,1.0,17.3333,10.0,0.1949321143329143,6.0,0.657109885476529,2,False,False,1,1,6,2,8,2,0,2,6,2,Night,2.9262168163433655,-16.681810599177002,-19.545445661161065,1
5453,2014,1.21778,12.0,2.0,10.7692,12.0,0.2931014560163019,8.0,0.8885798100382091,0.623268,6.0,2.0,9.2083,17.0,0.5100486073642965,4.0,1.6322258412837976,1,False,False,2,1,5,2,4,7,2,0,4,1,Night,3.648260273970662,-16.60868843100503,-19.260861190929916,1
4008,2014,1.33192,12.0,6.0,11.3333,8.0,1.309201441705227,10.0,2.9246375001966936,1.55248,12.0,9.0,11.1389,11.0,1.0696528498083349,9.0,4.3624882511794585,2,False,False,1,2,5,6,2,6,2,2,3,5,Noon,2.6902459984645244,-16.58332642361399,-19.54165852430895,2
4009,2014,0.965583,12.0,6.0,15.5909,8.0,0.7820554245263338,9.0,1.7357466686516998,1.48053,13.0,9.0,12.9091,11.0,1.1351527106016874,11.0,4.700590871274469,5,False,False,1,5+,0,5,3,3,3,3,0,4,After Noon,2.5839174723252656,-16.31999347200261,-19.719992112003155,0
