gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeGoalsHalfTime,awayGoalsHalfTime,home_xGoals,home_shots,home_shotsOnTarget,home_deep,home_ppda,home_fouls,home_corners,home_yellowCards,home_redCards,home_total_assists,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,home_total_xGoalsBuildup,home_total_yellow_cards,home_total_red_cards,home_total_blocked_shots,home_total_saved_shots,away_xGoals,away_shots,away_shotsOnTarget,away_deep,away_ppda,away_fouls,away_corners,away_yellowCards,away_redCards,away_total_assists,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_xGoalsBuildup,away_total_yellow_cards,away_total_red_cards,away_total_blocked_shots,away_total_saved_shots,gameresult
95,1,2015,2015-08-15 18:00:00,82,85,2,2,2,0,1.70614,13,7,1,10.125,15,4,2.0,0,2,1.4342839159071445,9,5.9785342924296865,3.777562364935874,2,0,4.0,5.0,2.80956,15,7,5,11.6071,11,3,2.0,0,1,1.8952301442623132,11,7.974689356982712,5.519346430897707,2,0,2.0,5.0,D
96,1,2015,2015-08-15 18:00:00,90,76,0,0,0,0,0.760848,16,5,3,5.9524,13,2,1.0,0,0,0.6929295938462015,15,3.6125353276729593,2.6494456678628944,1,0,3.0,5.0,0.684036,6,0,4,11.5,10,4,2.0,0,0,0.6401651054620747,5,0.18443479388952272,0.051431566476822,2,0,1.0,0.0,D
97,1,2015,2015-08-15 18:00:00,81,75,1,2,0,2,0.513491,10,3,10,6.375,11,8,1.0,1,1,0.420779449865222,8,1.9192707948386674,1.224723063409329,1,1,4.0,2.0,1.80939,10,5,5,15.0455,12,4,3.0,0,1,1.071819668635726,7,4.666093498468402,2.152868688106537,3,0,2.0,3.0,A
98,1,2015,2015-08-16 16:30:00,78,83,1,2,1,1,0.964134,11,4,5,11.7083,14,6,1.0,0,1,0.7347537036985159,7,2.9770939182490106,1.8672747220844026,1,0,3.0,3.0,2.05542,20,7,15,6.9655,12,6,1.0,0,1,1.6320336200296879,17,7.781682536005981,4.422519512474539,1,0,8.0,5.0,A
99,1,2015,2015-08-16 19:00:00,88,80,3,0,1,0,2.18579,18,8,15,5.7273,19,5,4.0,0,3,2.1634247303009007,17,9.940190605819225,7.454150713980193,4,0,4.0,5.0,0.482423,10,3,6,6.6207,13,1,2.0,0,0,0.3866465426981451,7,1.2162417657673354,0.5113452449440953,2,0,3.0,3.0,H
100,1,2015,2015-08-17 23:00:00,87,73,1,0,1,0,2.15062,18,2,9,6.4138,11,6,1.0,0,1,1.4996384587138898,11,5.7047596871852875,3.876398280262947,1,0,5.0,1.0,0.460805,13,2,6,10.0,18,8,4.0,0,0,0.4608047781512142,13,1.522530369460582,0.8701470401138052,4,0,5.0,2.0,H
101,1,2015,2015-08-22 15:45:00,89,86,0,0,0,0,1.2491,20,8,12,4.7097,15,11,2.0,0,0,0.6726793181151149,15,2.512741593644023,1.0471822340041392,2,0,9.0,8.0,0.4384,7,0,1,18.4375,11,5,2.0,0,0,0.4102224865928288,6,0.7787955794483428,0.4659189283847809,2,0,3.0,0.0,D
102,1,2015,2015-08-22 18:00:00,79,85,1,1,1,1,3.14888,20,7,4,9.6333,16,9,4.0,0,1,2.020585126243531,14,3.3499759398400775,1.7087011709809297,4,0,5.0,6.0,0.698228,6,1,2,10.9286,5,0,1.0,0,1,0.6270110532641406,5,0.4903615657240154,0.3203442208468915,1,0,1.0,0.0,D
103,1,2015,2015-08-22 18:00:00,77,84,1,1,0,1,0.569426,10,2,2,10.1034,16,3,4.0,0,1,0.3806977458298207,7,0.7951478660106664,0.4064412564039226,4,0,3.0,1.0,1.56064,20,9,4,8.5789,9,4,2.0,0,1,1.4928580913692713,19,6.92160702869296,5.250767093151809,2,0,5.0,8.0,D
104,1,2015,2015-08-22 18:00:00,78,71,2,1,0,0,1.23807,16,6,9,8.1667,12,6,3.0,0,2,1.0895317830145363,14,3.6780729442834845,1.9277896489948028,3,0,3.0,4.0,0.765278,11,2,6,8.4762,15,4,3.0,0,0,0.7208935832604766,9,1.8479994414374237,0.6211091876029966,3,0,3.0,2.0,H
105,1,2015,2015-08-22 18:00:00,75,82,1,1,0,0,0.829012,13,2,5,15.5789,7,2,1.0,0,1,0.6317214574664832,9,0.963018879294396,0.2457480393350126,1,0,6.0,1.0,1.89437,19,6,5,4.9474,14,7,4.0,0,1,1.7326435027644038,16,6.972723320126538,5.106229949742556,4,0,4.0,5.0,D
106,1,2015,2015-08-22 18:00:00,81,73,3,4,0,2,1.50203,10,4,3,9.9091,8,5,0.0,1,1,0.41823422349989414,7,1.239970549941063,0.20010586827993398,0,1,3.0,1.0,2.8554,15,7,7,10.7222,11,4,0.0,0,2,1.5571450069546704,11,6.244986295700067,3.3676172383129566,1,0,2.0,3.0,A
107,1,2015,2015-08-23 16:30:00,76,80,2,3,1,3,1.42622,15,6,4,14.8235,9,8,2.0,0,2,0.4745292626321314,12,1.5037112729623903,0.9198600314557538,2,0,3.0,4.0,2.02778,15,5,8,17.5,12,7,1.0,1,2,1.3468073010444632,13,7.018692962825302,4.225968591868878,1,1,3.0,2.0,A
108,1,2015,2015-08-23 19:00:00,72,88,0,2,0,0,0.579338,10,1,3,19.25,5,8,0.0,0,0,0.376532111316919,8,1.8190157786011696,1.3233007490634912,0,0,4.0,1.0,1.57983,16,9,9,9.36,7,7,3.0,0,2,0.9708583615720272,13,4.106896743178366,2.016905941069126,3,0,4.0,7.0,A
109,1,2015,2015-08-23 19:00:00,90,74,0,0,0,0,1.17588,13,0,2,9.0455,10,5,0.0,0,0,0.4565276633948086,10,1.2755006570369,0.7203890122473232,0,0,7.0,0.0,0.68359,14,5,2,7.4074,11,2,2.0,0,0,0.6607154486700889,12,1.917066756635903,1.3477755589410665,2,0,0.0,5.0,D
110,1,2015,2015-08-24 23:00:00,83,87,0,0,0,0,1.83755,19,5,14,5.6154,2,7,1.0,0,0,1.7258488498628133,15,6.951557725667951,5.039781831204889,1,0,5.0,5.0,1.29206,15,8,9,10.4286,13,8,4.0,0,0,1.17966222576797,12,3.6587592959403987,1.9787391200661664,4,0,3.0,8.0,D
111,1,2015,2015-08-29 15:45:00,86,83,0,1,0,0,0.0319694,1,0,0,21.8235,15,0,6.0,1,0,0.0319694019854069,1,0.1278776079416276,0.0639388039708138,6,1,0.0,0.0,2.33948,22,9,15,5.5357,8,9,1.0,0,0,1.5942874103784568,16,6.756244093179706,3.5669872611761093,1,0,7.0,9.0,A
112,1,2015,2015-08-29 18:00:00,85,76,0,1,0,1,1.21771,13,5,2,23.8889,4,6,1.0,2,0,0.2173410654067994,8,1.8116163965314627,0.718883380293846,1,2,4.0,4.0,0.881194,15,5,8,8.9677,9,5,4.0,0,1,0.604046639055014,10,3.5267928875982757,2.3654092764481898,4,0,4.0,4.0,A
113,1,2015,2015-08-29 18:00:00,71,77,2,2,2,1,2.27406,21,6,12,8.6364,10,5,2.0,0,1,1.3854963928461062,18,7.512095063924792,5.033750072121624,2,0,4.0,4.0,0.368848,7,3,3,7.35,14,4,1.0,0,1,0.2815655879676345,6,0.5465486235916613,0.14103095233440371,1,0,1.0,1.0,D
114,1,2015,2015-08-29 18:00:00,73,75,1,1,1,0,0.321432,5,2,4,7.05,9,4,2.0,0,0,0.0386247560381889,2,0.3024171069264415,0.06574700586497789,2,0,3.0,1.0,0.919097,4,2,6,5.1667,19,4,4.0,0,0,0.15792819112539289,3,0.5498915687203406,0.2340351790189743,4,0,0.0,1.0,D
