gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeGoalsHalfTime,awayGoalsHalfTime,home_season,home_date,home_location,home_goals,home_xGoals,home_shots,home_shotsOnTarget,home_deep,home_ppda,home_fouls,home_corners,home_yellowCards,home_redCards,home_result,away_season,away_date,away_location,away_goals,away_xGoals,away_shots,away_shotsOnTarget,away_deep,away_ppda,away_fouls,away_corners,away_yellowCards,away_redCards,away_result,gameresult
81,1,2015,2015-08-08 15:45:00,89,82,1,0,1,0,2015,2015-08-08 15:45:00,h,1,0.627539,9,1,4,13.8261,12,1,2.0,0,W,2015,2015-08-08 15:45:00,a,0,0.6746,9,4,10,8.2188,12,2,3.0,0,L,H
82,1,2015,2015-08-08 18:00:00,73,71,0,1,0,0,2015,2015-08-08 18:00:00,h,0,0.876106,11,2,11,6.9,13,6,3.0,0,L,2015,2015-08-08 18:00:00,a,1,0.782253,7,3,2,11.8462,13,3,4.0,0,W,A
83,1,2015,2015-08-08 18:00:00,72,90,2,2,0,1,2015,2015-08-08 18:00:00,h,2,0.604226,10,5,5,6.65,7,8,1.0,0,D,2015,2015-08-08 18:00:00,a,2,0.557892,11,5,4,17.1579,13,2,2.0,0,D,D
84,1,2015,2015-08-08 18:00:00,75,77,4,2,3,0,2015,2015-08-08 18:00:00,h,4,2.56803,19,8,5,10.88,13,6,2.0,0,W,2015,2015-08-08 18:00:00,a,2,1.45946,11,5,6,9.5556,17,3,4.0,0,L,H
85,1,2015,2015-08-08 18:00:00,79,78,1,3,0,1,2015,2015-08-08 18:00:00,h,1,1.13076,17,6,5,5.7368,14,1,1.0,0,L,2015,2015-08-08 18:00:00,a,3,2.10975,11,7,10,10.625,20,4,0.0,0,W,A
86,1,2015,2015-08-08 20:30:00,80,84,2,2,2,1,2015,2015-08-08 20:30:00,h,2,0.64396,11,3,10,10.3636,15,4,1.0,1,D,2015,2015-08-08 20:30:00,a,2,2.59203,17,10,5,8.8333,16,8,3.0,0,D,D
87,1,2015,2015-08-09 16:30:00,86,74,2,2,1,1,2015,2015-08-09 16:30:00,h,2,1.54613,9,4,3,12.7222,9,6,2.0,0,D,2015,2015-08-09 16:30:00,a,2,1.2529,14,4,5,7.0,12,6,4.0,0,D,D
88,1,2015,2015-08-09 16:30:00,83,81,0,2,0,1,2015,2015-08-09 16:30:00,h,0,1.33166,22,6,11,8.1667,12,5,1.0,0,L,2015,2015-08-09 16:30:00,a,2,0.535961,8,4,0,12.4545,9,4,3.0,0,W,A
89,1,2015,2015-08-09 19:00:00,85,87,0,1,0,0,2015,2015-08-09 19:00:00,h,0,0.381274,7,1,2,11.913,9,3,2.0,0,L,2015,2015-08-09 19:00:00,a,1,0.329873,8,3,5,9.3462,16,5,4.0,0,W,A
90,1,2015,2015-08-10 23:00:00,76,88,0,3,0,2,2015,2015-08-10 23:00:00,h,0,0.435238,9,2,4,23.2941,12,6,4.0,0,L,2015,2015-08-10 23:00:00,a,3,1.9242,20,7,8,8.087,9,6,1.0,0,W,A
91,1,2015,2015-08-14 22:45:00,71,89,0,1,0,1,2015,2015-08-14 22:45:00,h,0,0.219118,5,1,3,10.0333,14,3,2.0,0,L,2015,2015-08-14 22:45:00,a,1,0.660404,9,2,5,9.5,10,5,2.0,0,W,A
92,1,2015,2015-08-15 15:45:00,74,72,0,3,0,2,2015,2015-08-15 15:45:00,h,0,1.06214,17,4,10,8.8261,11,9,4.0,0,L,2015,2015-08-15 15:45:00,a,3,1.39628,10,4,5,15.8125,10,9,2.0,0,W,A
93,1,2015,2015-08-15 18:00:00,77,79,1,3,0,2,2015,2015-08-15 18:00:00,h,1,0.329128,6,2,2,10.1818,7,6,1.0,0,L,2015,2015-08-15 18:00:00,a,3,1.71686,18,6,6,10.6667,7,6,2.0,0,W,A
94,1,2015,2015-08-15 18:00:00,84,86,2,0,1,0,2015,2015-08-15 18:00:00,h,2,1.97424,19,6,4,6.2353,11,4,2.0,0,W,2015,2015-08-15 18:00:00,a,0,0.113109,4,2,0,34.3333,8,4,1.0,1,L,H
95,1,2015,2015-08-15 18:00:00,82,85,2,2,2,0,2015,2015-08-15 18:00:00,h,2,1.70614,13,7,1,10.125,15,4,2.0,0,D,2015,2015-08-15 18:00:00,a,2,2.80956,15,7,5,11.6071,11,3,2.0,0,D,D
96,1,2015,2015-08-15 18:00:00,90,76,0,0,0,0,2015,2015-08-15 18:00:00,h,0,0.760848,16,5,3,5.9524,13,2,1.0,0,D,2015,2015-08-15 18:00:00,a,0,0.684036,6,0,4,11.5,10,4,2.0,0,D,D
97,1,2015,2015-08-15 18:00:00,81,75,1,2,0,2,2015,2015-08-15 18:00:00,h,1,0.513491,10,3,10,6.375,11,8,1.0,1,L,2015,2015-08-15 18:00:00,a,2,1.80939,10,5,5,15.0455,12,4,3.0,0,W,A
98,1,2015,2015-08-16 16:30:00,78,83,1,2,1,1,2015,2015-08-16 16:30:00,h,1,0.964134,11,4,5,11.7083,14,6,1.0,0,L,2015,2015-08-16 16:30:00,a,2,2.05542,20,7,15,6.9655,12,6,1.0,0,W,A
99,1,2015,2015-08-16 19:00:00,88,80,3,0,1,0,2015,2015-08-16 19:00:00,h,3,2.18579,18,8,15,5.7273,19,5,4.0,0,W,2015,2015-08-16 19:00:00,a,0,0.482423,10,3,6,6.6207,13,1,2.0,0,L,H
100,1,2015,2015-08-17 23:00:00,87,73,1,0,1,0,2015,2015-08-17 23:00:00,h,1,2.15062,18,2,9,6.4138,11,6,1.0,0,W,2015,2015-08-17 23:00:00,a,0,0.460805,13,2,6,10.0,18,8,4.0,0,L,H
101,1,2015,2015-08-22 15:45:00,89,86,0,0,0,0,2015,2015-08-22 15:45:00,h,0,1.2491,20,8,12,4.7097,15,11,2.0,0,D,2015,2015-08-22 15:45:00,a,0,0.4384,7,0,1,18.4375,11,5,2.0,0,D,D
102,1,2015,2015-08-22 18:00:00,79,85,1,1,1,1,2015,2015-08-22 18:00:00,h,1,3.14888,20,7,4,9.6333,16,9,4.0,0,D,2015,2015-08-22 18:00:00,a,1,0.698228,6,1,2,10.9286,5,0,1.0,0,D,D
103,1,2015,2015-08-22 18:00:00,77,84,1,1,0,1,2015,2015-08-22 18:00:00,h,1,0.569426,10,2,2,10.1034,16,3,4.0,0,D,2015,2015-08-22 18:00:00,a,1,1.56064,20,9,4,8.5789,9,4,2.0,0,D,D
104,1,2015,2015-08-22 18:00:00,78,71,2,1,0,0,2015,2015-08-22 18:00:00,h,2,1.23807,16,6,9,8.1667,12,6,3.0,0,W,2015,2015-08-22 18:00:00,a,1,0.765278,11,2,6,8.4762,15,4,3.0,0,L,H
105,1,2015,2015-08-22 18:00:00,75,82,1,1,0,0,2015,2015-08-22 18:00:00,h,1,0.829012,13,2,5,15.5789,7,2,1.0,0,D,2015,2015-08-22 18:00:00,a,1,1.89437,19,6,5,4.9474,14,7,4.0,0,D,D
106,1,2015,2015-08-22 18:00:00,81,73,3,4,0,2,2015,2015-08-22 18:00:00,h,3,1.50203,10,4,3,9.9091,8,5,0.0,1,L,2015,2015-08-22 18:00:00,a,4,2.8554,15,7,7,10.7222,11,4,0.0,0,W,A
107,1,2015,2015-08-23 16:30:00,76,80,2,3,1,3,2015,2015-08-23 16:30:00,h,2,1.42622,15,6,4,14.8235,9,8,2.0,0,L,2015,2015-08-23 16:30:00,a,3,2.02778,15,5,8,17.5,12,7,1.0,1,W,A
108,1,2015,2015-08-23 19:00:00,72,88,0,2,0,0,2015,2015-08-23 19:00:00,h,0,0.579338,10,1,3,19.25,5,8,0.0,0,L,2015,2015-08-23 19:00:00,a,2,1.57983,16,9,9,9.36,7,7,3.0,0,W,A
109,1,2015,2015-08-23 19:00:00,90,74,0,0,0,0,2015,2015-08-23 19:00:00,h,0,1.17588,13,0,2,9.0455,10,5,0.0,0,D,2015,2015-08-23 19:00:00,a,0,0.68359,14,5,2,7.4074,11,2,2.0,0,D,D
110,1,2015,2015-08-24 23:00:00,83,87,0,0,0,0,2015,2015-08-24 23:00:00,h,0,1.83755,19,5,14,5.6154,2,7,1.0,0,D,2015,2015-08-24 23:00:00,a,0,1.29206,15,8,9,10.4286,13,8,4.0,0,D,D
111,1,2015,2015-08-29 15:45:00,86,83,0,1,0,0,2015,2015-08-29 15:45:00,h,0,0.0319694,1,0,0,21.8235,15,0,6.0,1,L,2015,2015-08-29 15:45:00,a,1,2.33948,22,9,15,5.5357,8,9,1.0,0,W,A
112,1,2015,2015-08-29 18:00:00,85,76,0,1,0,1,2015,2015-08-29 18:00:00,h,0,1.21771,13,5,2,23.8889,4,6,1.0,2,L,2015,2015-08-29 18:00:00,a,1,0.881194,15,5,8,8.9677,9,5,4.0,0,W,A
113,1,2015,2015-08-29 18:00:00,71,77,2,2,2,1,2015,2015-08-29 18:00:00,h,2,2.27406,21,6,12,8.6364,10,5,2.0,0,D,2015,2015-08-29 18:00:00,a,2,0.368848,7,3,3,7.35,14,4,1.0,0,D,D
114,1,2015,2015-08-29 18:00:00,73,75,1,1,1,0,2015,2015-08-29 18:00:00,h,1,0.321432,5,2,4,7.05,9,4,2.0,0,D,2015,2015-08-29 18:00:00,a,1,0.919097,4,2,6,5.1667,19,4,4.0,0,D,D
115,1,2015,2015-08-29 18:00:00,80,78,1,2,0,0,2015,2015-08-29 18:00:00,h,1,1.27906,26,9,10,8.2,9,7,1.0,0,L,2015,2015-08-29 18:00:00,a,2,2.19283,13,5,8,18.5,15,7,1.0,0,W,A
116,1,2015,2015-08-29 18:00:00,87,81,0,3,0,2,2015,2015-08-29 18:00:00,h,0,0.561737,13,1,12,5.9655,17,5,3.0,1,L,2015,2015-08-29 18:00:00,a,3,0.97217,12,5,1,12.0909,11,7,1.0,1,W,A
117,1,2015,2015-08-29 18:00:00,88,90,2,0,0,0,2015,2015-08-29 18:00:00,h,2,1.52895,18,5,9,10.1429,9,9,1.0,0,W,2015,2015-08-29 18:00:00,a,0,0.363603,7,0,1,20.4444,12,3,2.0,0,L,H
118,1,2015,2015-08-29 20:30:00,82,72,0,0,0,0,2015,2015-08-29 20:30:00,h,0,1.99917,20,6,11,7.4375,20,6,4.0,0,D,2015,2015-08-29 20:30:00,a,0,0.694692,8,3,6,18.5385,9,2,1.0,0,D,D
119,1,2015,2015-08-30 16:30:00,74,79,3,0,1,0,2015,2015-08-30 16:30:00,h,3,2.85501,23,8,2,10.3333,4,6,0.0,0,W,2015,2015-08-30 16:30:00,a,0,0.639434,6,1,2,25.5833,12,4,0.0,1,L,H
120,1,2015,2015-08-30 19:00:00,84,89,2,1,0,0,2015,2015-08-30 19:00:00,h,2,0.971183,9,4,3,15.1739,6,0,2.0,0,W,2015,2015-08-30 19:00:00,a,1,1.28089,11,4,9,6.8966,15,1,2.0,0,L,H
121,1,2015,2015-09-12 15:45:00,72,80,3,1,2,1,2015,2015-09-12 15:45:00,h,3,1.18026,14,9,4,15.0476,12,7,2.0,0,W,2015,2015-09-12 15:45:00,a,1,0.656048,15,2,7,7.6154,12,14,2.0,0,L,H
122,1,2015,2015-09-12 18:00:00,83,85,2,0,1,0,2015,2015-09-12 18:00:00,h,2,4.42684,29,12,20,6.76,6,13,1.0,0,W,2015,2015-09-12 18:00:00,a,0,0.191277,8,3,2,15.9048,13,1,1.0,0,L,H
123,1,2015,2015-09-12 18:00:00,78,88,0,1,0,0,2015,2015-09-12 18:00:00,h,0,0.743193,10,2,2,8.625,13,4,2.0,0,L,2015,2015-09-12 18:00:00,a,1,3.08883,21,7,8,8.5833,13,4,3.0,0,W,A
124,1,2015,2015-09-12 18:00:00,90,84,1,0,0,0,2015,2015-09-12 18:00:00,h,1,1.57333,17,6,3,11.2593,11,1,1.0,1,W,2015,2015-09-12 18:00:00,a,0,0.503008,8,3,8,6.7,14,3,1.0,0,L,H
125,1,2015,2015-09-12 18:00:00,76,74,0,0,0,0,2015,2015-09-12 18:00:00,h,0,0.409143,8,1,5,20.4118,5,4,1.0,0,D,2015,2015-09-12 18:00:00,a,0,1.00731,15,4,7,8.5556,5,5,0.0,0,D,D
126,1,2015,2015-09-12 18:00:00,79,73,3,1,1,0,2015,2015-09-12 18:00:00,h,3,1.33151,12,4,7,9.9615,10,4,2.0,0,W,2015,2015-09-12 18:00:00,a,1,0.389495,7,2,3,11.6316,11,4,3.0,0,L,H
127,1,2015,2015-09-12 20:30:00,89,87,3,1,0,0,2015,2015-09-12 20:30:00,h,3,1.46206,9,3,4,9.7778,6,4,1.0,0,W,2015,2015-09-12 20:30:00,a,1,1.02572,8,4,5,14.4762,11,4,2.0,0,L,H
128,1,2015,2015-09-13 16:30:00,77,82,0,1,0,0,2015,2015-09-13 16:30:00,h,0,1.0407,12,2,4,12.0556,11,6,2.0,0,L,2015,2015-09-13 16:30:00,a,1,1.45615,15,4,12,5.1724,12,8,1.0,0,W,A
129,1,2015,2015-09-13 19:00:00,75,71,3,2,0,1,2015,2015-09-13 19:00:00,h,3,1.34987,21,6,11,7.1515,8,4,2.0,0,W,2015,2015-09-13 19:00:00,a,2,0.953181,11,4,5,8.4091,13,5,1.0,0,L,H
130,1,2015,2015-09-14 23:00:00,81,86,2,0,1,0,2015,2015-09-14 23:00:00,h,2,1.71282,17,3,4,11.72,8,6,0.0,0,W,2015,2015-09-14 23:00:00,a,0,0.716599,14,4,4,8.2222,11,7,2.0,0,L,H
131,1,2015,2015-09-19 15:45:00,80,83,2,0,0,0,2015,2015-09-19 15:45:00,h,2,2.0687,22,6,14,6.0938,12,5,3.0,0,W,2015,2015-09-19 15:45:00,a,0,0.775312,9,2,5,13.1818,11,5,1.0,2,L,H
132,1,2015,2015-09-19 18:00:00,86,90,1,2,0,2,2015,2015-09-19 18:00:00,h,1,1.15114,15,5,7,9.4444,8,5,1.0,0,L,2015,2015-09-19 18:00:00,a,2,1.33961,13,4,10,7.5946,12,5,2.0,0,W,A
133,1,2015,2015-09-19 18:00:00,71,76,0,1,0,1,2015,2015-09-19 18:00:00,h,0,0.876719,13,3,5,6.12,10,2,2.0,0,L,2015,2015-09-19 18:00:00,a,1,0.632761,11,6,2,8.4138,11,7,3.0,0,W,A
134,1,2015,2015-09-19 18:00:00,73,77,2,0,2,0,2015,2015-09-19 18:00:00,h,2,0.644335,15,5,7,8.5185,14,7,2.0,0,W,2015,2015-09-19 18:00:00,a,0,0.854867,9,2,2,9.2692,15,3,4.0,1,L,H
135,1,2015,2015-09-19 18:00:00,85,75,2,2,2,0,2015,2015-09-19 18:00:00,h,2,1.14717,11,4,2,6.9565,7,3,1.0,0,D,2015,2015-09-19 18:00:00,a,2,1.22582,12,5,3,6.0,12,4,4.0,0,D,D
136,1,2015,2015-09-19 18:00:00,84,72,0,0,0,0,2015,2015-09-19 18:00:00,h,0,0.864868,12,3,4,8.5769,12,2,2.0,0,D,2015,2015-09-19 18:00:00,a,0,1.77458,17,2,12,9.0,11,4,2.0,1,D,D
137,1,2015,2015-09-19 20:30:00,88,81,1,2,1,2,2015,2015-09-19 20:30:00,h,1,2.98465,27,8,15,3.6667,10,16,1.0,0,L,2015,2015-09-19 20:30:00,a,2,0.995273,6,3,3,23.7692,7,3,2.0,0,W,A
138,1,2015,2015-09-20 16:30:00,82,78,1,0,0,0,2015,2015-09-20 16:30:00,h,1,1.01573,21,6,10,5.1765,9,6,1.0,0,W,2015,2015-09-20 16:30:00,a,0,0.538439,12,4,5,10.1739,11,5,2.0,0,L,H
139,1,2015,2015-09-20 19:00:00,74,89,2,3,1,1,2015,2015-09-20 19:00:00,h,2,1.83663,15,8,7,17.45,6,5,2.0,0,L,2015,2015-09-20 19:00:00,a,3,1.65119,10,3,4,12.2353,13,5,0.0,0,W,A
140,1,2015,2015-09-20 19:00:00,87,79,1,1,0,0,2015,2015-09-20 19:00:00,h,1,1.90447,23,7,12,8.8636,4,6,1.0,0,D,2015,2015-09-20 19:00:00,a,1,0.556271,7,2,3,15.1905,13,2,2.0,0,D,D
141,1,2015,2015-09-26 15:45:00,82,88,4,1,1,1,2015,2015-09-26 15:45:00,h,4,2.30799,15,8,3,5.2895,17,5,5.0,0,W,2015,2015-09-26 15:45:00,a,1,1.57842,22,8,17,10.9,6,9,1.0,0,L,H
